Name,Code,Type,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Country,Military expenditure (current USD),,,,,,,,,,,2939585.501,,,3341271.551,3581366.351,4203664.569,5393251.216,6127288.063,,,,,,,,,,,,,,,,,,,,,,,,,,,125111557.5,122727193.1,131346231.3,219580214.3,240532594.6,251869514.8,298146852.5,325807003.7,238583385.4,217194107.1,268227074.2,199518614.8,185878310.1,191407113.2,198086263.3
Angola,AGO,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,343271609.1,504712881.9,497359449.2,618891637.1,668493883.3,778628250.6,1066247744,1146467010,1156494418,1487398890,1469382980,1948559396,1751153152,1031247788,794138821.2,1774397877,594991178.7,233843714.9,159741933.5,456780475,170278292.6,1066588789,583621333.6,404299140,438686245.4,670021164.4,817533582.2,1365055399,1970309115,2032432883,3163591147,3311193245,3500794836,3639496374,4144634851,6090751702,6841864484,3608299115,2764054937,3062872914,1983613748
Albania,ALB,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31559657.48,39289843.43,49649504.93,50907521.78,45713356.11,29825492,33638047.44,42784205.21,45362503.39,53232045.16,58649352.5,76142881.76,100922358.4,110140852.7,140983900.7,194840309.2,255677957.8,182736862.5,185893242,197006789.2,183204695.7,180015508.8,178120368,132350667.6,130853162.6,144382688.7,180488725.1
Andorra,AND,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Regions Clubbed Geographically,Military expenditure (current USD),,,833229524.1,916446054.5,1225338998,1416443189,1548666185,1684446592,2031297443,2520054562,2980085336,3346818699,3722311542,5149216359,5939677298,6542589258,7664547685,21087366664,23611330024,28041477384,34463402591,39939322642,40382443515,34868573704,36994839308,32977558769,14390091251,29739839768,28872826806,24604659766,36512289679,41035099161,32810749318,29606345067,29413366450,26684323434,26486123009,35484055036,39322695875,36889627319,40740633349,42770280444,40851036167,42622220140,48508764668,54649194506,61282170542,73572238704,86261643586,91504042712,97976367584,1.08E+11,1.22E+11,1.43E+11,1.55E+11,1.38E+11,1.12E+11,1.19E+11,1.13E+11
United Arab Emirates,ARE,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335766741,4010347175,4233083730,5875833901,5797957794,5354118448,5834717495,6816882233,6604220558,7165418652,8460993873,11571681416,13836351259,17504697073,19181756297,19024098026,23561061947,22755071477,,,,
Argentina,ARG,Country,Military expenditure (current USD),,,305162407.2,242219771.2,245740498,252407602.9,279225436.3,251930719.1,337142857.1,442857142.9,445713893.9,519719484.2,766000000,1294000000,1626000000,798359535.2,2050248959,2058223942,3103989947,5057062803,6477389013,5882767126,2279872697,2848053181,2527749815,2027221261,2449545721,2485659656,2696341658,1440922190,2050907629,2858778842,3254455192,3368550452,3754724687,3801950488,3379138770,3340670335,3398699350,3461730865,3266633317,3183591796,1114172483,1374873734,1465809188,1699579152,1847553130,2296448242,2788980205,2981852290,3475348407,4051930105,4563217859,5137974301,4979442724,5482616701,4509647660,5459643672,4144991771
Armenia,ARM,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9829763.866,,52228583.82,52410268.55,64062121.19,66757573.06,68234148.57,68052142.07,66247626.46,64106405.65,76587998.89,98070488.2,140738102.7,188189116.4,280108688.3,395994365.4,359499343.5,395011507.8,390871433.9,380571678.9,444551859.5,457807021.8,447379807.5,431396218.6,443610413.3,608854649.9
American Samoa,ASM,Semi Autonomous Region,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
